City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
9,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
13,Mahebourg,MU,75.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
15,Kavaratti,IN,81.39,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
22,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
23,Hilo,US,77.25,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
26,Port Blair,IN,82.87,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
29,Port-Gentil,GA,78.66,light rain,-0.7193,8.7815,Fengshui Residence
30,Atuona,PF,78.4,clear sky,-9.8,-139.0333,Villa Enata
32,Boundiali,CI,75.49,clear sky,9.5217,-6.4869,Hotel Paysan Boundiali
33,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
35,Vaini,TO,78.96,moderate rain,-21.2,-175.2,Keleti Beach Resort
51,Langsa,ID,81.68,broken clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
55,Kudahuvadhoo,MV,82.83,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
66,Kudat,MY,84.13,scattered clouds,6.8837,116.8477,Dream Garden Hotel
75,Coxim,BR,75.67,clear sky,-18.5067,-54.76,Hotel Avenida
82,Aquiraz,BR,81.18,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
84,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
87,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
90,Gummidipundi,IN,79.99,moderate rain,13.4,80.15,Le Raj Courtyard
91,Vanimo,PG,86.72,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
97,Gizo,SB,84.58,light rain,-8.103,156.8419,Imagination Island
98,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
99,Buckeye,US,80.22,overcast clouds,33.3703,-112.5838,Buckeye Motor Hotel
100,Lodwar,KE,84.27,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
101,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
111,Kavieng,PG,84.79,light rain,-2.5744,150.7967,Nusa Island Retreat
126,Bambous Virieux,MU,75.22,overcast clouds,-20.3428,57.7575,Casa Tia Villa
129,Butaritari,KI,82.24,clear sky,3.0707,172.7902,Isles Sunset Lodge
132,Calabozo,VE,79.84,overcast clouds,8.9242,-67.4293,Hotel Giardini
136,Pringsewu,ID,77.76,overcast clouds,-5.3582,104.9744,Urban Style by Front One
138,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
139,Guararapes,BR,78.12,clear sky,-21.2608,-50.6428,Hotel Nacional Business
